yemek_id,yemek_adi,kalori (kcal),protein (g),karbonhidrat (g),yag (g),porsiyon_turu,minimum_porsiyon_boyutu,porsiyon_artıs_birimi,porsiyon_metrik_türü,porsiyon_metrik,ana_bilesenler,tarif,maksimum_porsiyon
1,Yumurtalı Peynirli Ekmek,169.0,8.0,14.0,9.0,dilim,1.0,1.0,gram,60,"yumurta, beyaz peynir, ekmek","Yumurtayı çırpın, içerisine rendelenmiş beyaz peynir ekleyin. Karışımı ekmek diliminin üzerine dökün ve fırında pişirin.",10.0
2,Domates,11.47,0.48,2.14,0.11,adet,0.5,0.5,gram,110,domates,"Domatesleri yıkayın, dilimleyin ve salatalarda veya yemeklerde kullanın. Çiğ olarak tüketilebilir.",2.5
3,Siyah Zeytin,5.04,0.03,0.24,0.44,adet,5.0,1.0,gram,4,"siyah zeytin, tuz",Siyah zeytinleri yıkayıp dilediğiniz şekilde servis edin.,25.0
4,Tavuklu Sebzeli Bulgur Pilavı,28.07,1.94,3.48,0.71,yemek kaşığı,3.0,1.0,gram,20,"tavuk, bulgur, sebzeler, baharatlar","Tavuk parçalarını kavurun, üzerine doğranmış sebzeleri ekleyin. Bulgur, su ve baharatları ilave ederek pişirin.",21.0
5,Ayran,73.52,3.96,5.42,4.0,su bardağı,1.0,1.0,ml,200,"yoğurt, su, tuz",Bir kase yoğurdu su ve tuz ile karıştırarak ayran elde edin.,5.0
6,Kıymalı Patates Yemeği,33.5,1.7,3.3,1.5,yemek kaşığı,4.0,1.0,gram,30,"kıyma, patates, soğan, domates salçası, sıvı yağ","Önce soğanı doğrayıp sıvı yağda kavurun. Ardından kıymayı ekleyip pişirin. Salça, doğranmış patates ve suyu ekleyip pişene kadar kaynatın.",20.0
7,Cacık,59.7,3.05,4.72,3.18,kase,1.0,1.0,gram,150,"yoğurt, salatalık, su, zeytinyağı, sarımsak, nane","Yoğurdu su ile kıvamına getirin, rendelenmiş salatalık ve ezilmiş sarımsak ekleyin. Üzerine zeytinyağı gezdirip nane ile süsleyin.",5.0
8,Süt,123.4,6.6,9.4,6.6,su bardağı,1.0,1.0,ml,200,süt,Bir kaseye süt dökün ve içmeye hazır hale getirin.,6.0
9,Yulaf Ezmesi,11.43,0.5,1.75,0.27,yemek kaşığı,4.0,1.0,gram,15,"yulaf, su veya süt, tuz","Yulaf ezmesini su veya süt ile pişirin, istenirse biraz tuz ekleyin.",20.0
10,Muz,88.86,0.98,20.56,0.3,adet,1.0,1.0,gram,90,muz,Muz kabuğunu soyup doğrudan tüketebilirsiniz.,5.0
11,Sebzeli Tavuk Sote,55.900000000000006,3.2,2.0,3.9,yemek kaşığı,4.0,1.0,gram,30,"tavuk göğsü, kırmızı biber, yeşil biber, soğan, domates",Tavuk göğsünü jülyen doğrayın. Soğan ve biberleri doğrayarak tavada soteleyin. Tavukları ekleyip pişirin. Domatesleri ekleyip kısa süre pişirdikten sonra servis edin.,20.0
12,Yoğurt,27.78,1.56,2.1,1.46,yemek kaşığı,1.0,1.0,ml,45,"süt, maya","Süt kaynatılır ve 40-45 dereceye kadar soğutulur. Maya eklenip karıştırılır, mayalanması için sıcak bir yerde bekletilir.",20.0
13,Nohutlu Yeşil Mercimek Yemeği,30.06,1.8,4.05,0.74,yemek kaşığı,4.0,1.0,gram,30,"nohut, yeşil mercimek, soğan, domates, zeytinyağı","Nohut ve yeşil mercimek haşlanır. Soğan ve domates zeytinyağında kavrulur. Haşlanan baklagiller eklenir, baharatlarla tatlandırılır ve kısık ateşte pişirilir.",20.0
14,Şalgam Suyu,14.580000000000002,1.03,2.12,0.22,su bardağı,1.0,1.0,ml,200,"şalgam, su, tuz, un, havuç, kırmızı pancar","Şalgam, pancar ve havuçlar doğranarak su, tuz ve un ile fermente edilir.",4.0
15,Tam Buğday Ekmeği,31.52,1.55,5.34,0.44,dilim,0.5,0.5,gram,25,"tam buğday unu, su, maya, tuz","Tam buğday unu, su, maya ve tuzu karıştırarak hamur yapın. Hamuru mayalandırın, şekil verin ve pişirin.",15.0
16,Beyaz Peynir,123.6,2.7,1.2,12.0,dilim,1.0,1.0,gram,30,"süt, peynir mayası, tuz","Süt, peynir mayası ve tuz karıştırılarak, peynir altı suyu ayrılana kadar bekletilir. Ardından kalıplara dökülüp, olgunlaşması için dinlendirilir.",6.0
17,Yeşil Zeytin,6.29,0.05,0.15,0.61,adet,5.0,1.0,gram,5,"yeşil zeytin, tuz, su",Yeşil zeytinleri sudan geçirip çekirdeklerini çıkarın ve istenirse doğrayarak servis edin.,25.0
18,Tavuklu Beğendi,26.4,3.3,0.6,1.2,yemek kaşığı,4.0,1.0,gram,30,"tavuk, patlıcan, un, süt, tereyağı, domates","Tavuklar sotelenir. Patlıcan közlenir ve un, tereyağı, süt ile beğendi hazırlanır. Beğendi üzerine tavuklar eklenir, domates sos ile servis edilir.",20.0
19,Kırmızı Biber Dolması,323.77,3.88,34.92,18.73,adet,1.0,1.0,gram,240,"kırmızı biber, pirinç, kıyma, domates, soğan","Kırmızı biberlerin içi temizlenir ve pirinç, kıyma, doğranmış soğan, domates ile hazırlanan iç harcıyla doldurulur. Üzerine sos dökülüp fırında pişirilir.",5.0
20,Yumurtalı Ispanak,17.57,1.22,0.36,1.25,yemek kaşığı,4.0,1.0,gram,30,"ıspanak, yumurta, zeytinyağı, soğan",Ispanakları doğrayın ve zeytinyağında soğanla kavurun. Üzerine yumurta kırın ve pişene kadar karıştırın.,20.0
21,Etli Pirinç Pilavı,27.98,1.1,4.32,0.7,yemek kaşığı,3.0,1.0,gram,20,"pirinç, kuşbaşı et, tereyağı, su veya et suyu, tuz","Kuşbaşı et tereyağında kavrulur, pirinç eklenerek kavurmaya devam edilir. Üzerine su veya et suyu eklenip pişirilir.",21.0
22,Yaprak Sarma,31.92,1.11,5.88,0.44,adet,3.0,1.0,gram,33,"asma yaprağı, pirinç, soğan, zeytinyağı","Asma yaprakları haşlanır ve iç harcı için pirinç, soğan ve baharatlar karıştırılır. Yapraklar iç harçla doldurulup sarılır ve tencereye dizilir. Üzerine zeytinyağı ve limon suyu eklenip pişirilir.",15.0
23,Kaşar Peyniri,107.30000000000001,8.1,0.77,7.98,dilim,1.0,1.0,gram,30,"süt, maya, tuz","Pastörize süt, peynir mayası ve tuz kullanılarak yapılan kaşar peyniri, olgunlaştırıldıktan sonra dilimlenerek servis edilir.",5.0
24,Mantı,125.06,3.09,22.28,2.62,kase,0.5,0.5,gram,150,"un, kıyma, yoğurt, tereyağı","Un, tuz ve su ile hamur hazırlanır, küçük parçalar halinde açılır. İçine kıymalı harç konulup kapatılır. Kaynar suda haşlandıktan sonra yoğurt ve tereyağlı sos ile servis edilir.",5.0
25,Karnıyarık,160.7,7.5,4.1,12.7,adet,1.0,1.0,gram,180,"patlıcan, kıyma, domates, biber, soğan, salça","Patlıcanlar ortadan kesilip kızartılır. Kıyma, soğan, biber ve salça kavrularak iç harcı hazırlanır. Patlıcanların içine harç doldurulur, domates dilimleri ile süslenir ve fırında pişirilir.",5.0
26,Bulgur Pilavı,22.92,0.56,3.64,0.68,yemek kaşığı,3.0,1.0,gram,20,"bulgur, soğan, biber, salça, zeytinyağı","Bulguru zeytinyağında kavrulmuş soğan ve biberle karıştır, salça ekle, su ilave ederek pişir.",21.0
27,Yumurtalı Kabak,19.72,1.1,0.59,1.44,yemek kaşığı,4.0,1.0,gram,25,"kabak, yumurta, zeytinyağı, soğan",Kabakları rendeleyin ve soğanla birlikte zeytinyağında kavurun. Yumurtaları ekleyip karıştırarak pişirin.,20.0
28,Tavuklu Makarna,30.659999999999997,1.77,2.34,1.58,yemek kaşığı,3.0,1.0,gram,25,"makarna, tavuk göğsü, zeytinyağı, domates sosu, baharatlar","Makarna haşlanır, tavuk göğsü küp şeklinde doğranır ve zeytinyağında sotelenir. Üzerine domates sosu ve baharatlar eklenerek karıştırılır.",21.0
29,Kıymalı Pırasa,14.52,0.91,0.74,0.88,yemek kaşığı,4.0,1.0,gram,25,"pırasa, kıyma, zeytinyağı, soğan, salça","Kıyma ve soğan zeytinyağında kavrulur, ardından doğranmış pırasa eklenir. Salça ve baharatlar ilave edilip su eklenir ve pişirilir.",20.0
30,Etli Kuru Fasulye,28.28,1.81,2.65,1.16,yemek kaşığı,4.0,1.0,gram,20,"kuru fasulye, dana eti, domates salçası, soğan, sıvı yağ",Kuru fasulyeleri bir gece önceden ıslatın. Tencereye sıvı yağı ekleyip doğranmış soğanları kavurun. Kuşbaşı doğranmış eti ekleyip rengi dönene kadar pişirin. Domates salçasını ekleyip kavurun. Islanmış fasulyeleri ve yeterince suyu ekleyip pişirin.,20.0
31,Tavuklu Bezelye Yemeği,13.669999999999998,1.52,0.84,0.47,yemek kaşığı,4.0,1.0,gram,20,"tavuk göğsü, bezelye, soğan, domates, havuç",Tavukları küp şeklinde doğrayın ve soğanla kavurun. Doğranmış havuçları ekleyip birkaç dakika pişirin. Ardından bezelye ve domatesi ekleyin. Baharatlar ve su ilave edip kısık ateşte pişirin.,20.0
32,Yağsız beyaz peynir,55.5,7.5,1.65,2.1,dilim,1.0,1.0,gram,30,"yağsız süt, peynir mayası, tuz",Yağsız süt ve peynir mayası ile hazırlanan karışımın kesilmesi ve ardından preslenmesi ile elde edilen yağsız beyaz peynir.,5.0
33,Yeşil çay,0.0,0.0,0.0,0.0,fincan,1.0,1.0,ml,200,"yeşil çay yaprağı, su","Bir fincan sıcak suya bir tatlı kaşığı yeşil çay yaprağı ekleyin, 3-5 dakika demleyin ve süzerek servis edin.",4.0
35,Kıvırcık salata,34.5,0.85,4.4,1.5,kase,1.0,0.5,gram,150,"kıvırcık salata, domates, salatalık, limon suyu, zeytinyağı","Kıvırcık salatayı yıkayıp doğrayın, domates ve salatalıkla karıştırın. Üzerine limon suyu ve zeytinyağı ekleyerek servis edin.",3.0
36,Orman kebabı,40.28,2.84,1.38,2.6,yemek kaşığı,4.0,1.0,gram,30,"kuzu eti, patates, havuç, bezelye, soğan, biber, domates","Kuzu eti parçaları, soğan ve biber ile kavrulur. Ardından küp doğranmış havuç, patates ve bezelye eklenir. Domates ilave edilerek baharatlarla tatlandırılır ve kısık ateşte pişirilir.",20.0
37,Mevsim salatası,56.96,2.55,7.28,1.96,kase,1.0,1.0,gram,190,"marul, domates, salatalık, havuç, limon suyu, zeytinyağı","Marul, domates, salatalık ve havuç doğranır. Üzerine limon suyu ve zeytinyağı eklenerek karıştırılır.",4.0
38,Meyve ,80.0,0.0,20.0,0.0,adet,1.0,1.0,gram,150,mevsim meyvesi,1 porsiyon orta boyutta mevsim meyvesini doğrayıp servis edelim.,6.0
39,Fındık,80.77,1.79,2.0,7.29,avuç,0.5,0.5,gram,30,fındık,Fındıkları kavurarak veya çiğ olarak tüketebilirsiniz.,4.0
40,Mercimek çorbası,101.7,7.7,10.3,3.3,kase,1.0,1.0,ml,200,"mercimek, soğan, havuç, patates, su, zeytinyağı","Mercimek, soğan, havuç ve patatesi doğrayıp suda haşlayın. Zeytinyağını ekleyip blenderdan geçirin ve baharatlarla tatlandırın.",5.0
41,Fırında kıymalı patates,230.62,10.78,26.4,9.1,porsiyon,4.0,1.0,gram,300,"patates, kıyma, soğan, domates salçası, zeytinyağı","Patatesler dilimlenir ve tepsiye dizilir; üzerine kavrulmuş kıyma, soğan ve salça karışımı eklenir; fırında pişirilir.",5.0
42,Izgara levrek,138.1,31.6,0.0,1.3,adet,1.0,1.0,gram,150,"levrek, zeytinyağı, limon","Levrek filetolarını zeytinyağı, tuz ve karabiberle marine edin. Izgarada her iki tarafını da 7-8 dakika pişirin. Limon suyu ile servis edin.",5.0
43,Zeytinyağlı fasulye,11.49,0.45,1.68,0.33,yemek kaşığı,4.0,1.0,gram,20,"taze fasulye, zeytinyağı, domates, soğan","Taze fasulyeler ayıklanır ve yıkanır. Soğanlar kavrulur, domates ve fasulye eklenir. Zeytinyağı ve su ilave edilerek pişirilir.",20.0
44,Kinoa salatası,227.15000000000003,7.2,29.0,9.15,kase,0.5,0.5,gram,380,"kinoa, domates, salatalık, maydanoz, limon, zeytinyağı","Kinoayı haşlayın ve soğumaya bırakın. Doğranmış domates, salatalık, ve maydanozu ekleyin. Üzerine limon suyu ve zeytinyağı gezdirin, karıştırın.",4.0
45,Yumurta,69.4,6.28,0.36,4.76,adet,1.0,1.0,gram,50,yumurta,Yumurtayı haşlayın veya tavada pişirin.,10.0
46,Zeytin,6.29,0.05,0.15,0.61,adet,5.0,1.0,gram,5,"zeytin, tuz, zeytinyağı",Zeytinleri yıkayın ve servis tabağına alın. Üzerine zeytinyağı gezdirip tuz ekleyerek servis edin.,25.0
